date,GrossBPS,GrossPL$,MaxDD,Average_win_PL,Average_loss_PL,TotalNumTrades
2022-03-01,220426.1284927492,113.75133425447991,-0.004017195868420531,0.8984802885338247,-0.15605754883046033,332
2022-03-02,593084.721932965,147.36102566223568,-0.006087185089595937,3.044385661324051,-0.8322274763347839,149
2022-03-03,-536314.7441089586,-141.09383906501697,-0.012434420745202401,0.6590485766860968,-1.9118791352140392,137
